task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot;timestamp
cb;Qwen/Qwen3-4B;2;2;2e-05;1024;fp16;True;standard;0.9614296555519104;0.6019417475728155;0.4548938151320818;0.599800225647072;0h:3m:31s;;;;
cb;Qwen/Qwen3-4B;3;2;2e-05;1024;fp16;True;standard;0.8223271369934082;0.6601941747572816;0.5122858678257858;0.66975270402877;0h:5m:2s;;;;
cb;elte-nlp/Racka-4B;3;2;2e-05;1024;fp16;True;standard;1.1688673496246338;0.4271844660194174;0.1925214012667798;0.4097158504925495;0h:5m:3s;;;;
cb;Qwen/Qwen3-4B;4;2;2e-05;1024;fp16;True;standard;0.9532056450843812;0.5339805825242718;0.3264538667143199;0.5276547003322045;0h:6m:52s;;;;
cb;elte-nlp/Racka-4B;4;2;2e-05;1024;fp16;True;standard;1.3147789239883425;0.4563106796116505;0.1944309808062132;0.4326650336174193;0h:6m:45s;;;;
cb;Qwen/Qwen3-4B;4;2;2e-05;1024;fp16;True;standard;0.9301960468292236;0.6019417475728155;0.4542729330995591;0.6104342259682066;0h:6m:46s;;;;
cb;Qwen/Qwen3-4B-Base;4;2;2e-05;1024;fp16;True;standard;1.151832938194275;0.4271844660194174;0.1917304687343601;0.4005661847130127;0h:6m:44s;;;;
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;0.9097885489463806;0.5631067961165048;0.3846604485873078;0.5697288568076802;0h:16m:52s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1162432432174685;0.5145631067961165;0.262539445520699;0.49945684059123;0h:16m:51s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.5064678192138672;0.3689320388349514;0.1202960756625396;0.316551777873419;0h:16m:56s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1814006567001345;0.4563106796116505;0.2245947612391749;0.4146541470342393;0h:16m:50s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.7811460494995115;0.25;-0.0622768357364712;0.1858974358974358;0h:2m:49s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.275969624519348;0.3846153846153846;0.0742887214798491;0.3974756950366707;0h:2m:34s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.4758424758911133;0.3786407766990291;0.0749757964311782;0.362576156597618;0h:16m:51s;;;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.195468783378601;0.4854368932038835;0.2735743279686665;0.4531732243229433;0h:16m:58s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.179906129837036;0.4660194174757281;0.2328839010061287;0.4321139799813641;0h:16m:51s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.298192024230957;0.4271844660194174;0.1778025973639293;0.4142156336674512;0h:16m:54s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.4239943027496338;0.3689320388349514;0.1281447713308887;0.3114885216840595;0h:16m:54s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.3754868507385254;0.4563106796116505;0.2155974454644938;0.4410427314590578;0h:16m:53s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1825978755950928;0.4466019417475728;0.2338011349947768;0.417975399064882;0h:16m:52s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.520124912261963;0.4077669902912621;0.1976241702436801;0.3640110406299898;0h:16m:52s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.0787514448165894;0.4563106796116505;0.2089743849811057;0.4444280160757498;0h:16m:55s;linear;1.0;;
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.0705289840698242;0.5339805825242718;0.3576001686163556;0.4854057458100634;0h:16m:52s;linear;1.0;;
