task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot
copa;Qwen/Qwen3-4B;4;1;2e-05;1024;fp16;True;standard;0.7044962048530579;0.54;0.0804321728691476;0.54;0h:29m:57s;;;
copa;Qwen/Qwen3-4B;4;1;2e-05;1024;fp16;True;standard;0.694568932056427;0.55;0.0983300695920096;0.5484172444980403;0h:30m:2s;;;
copa;Qwen/Qwen3-4B;4;1;2e-05;1024;fp16;True;standard;0.686417818069458;0.55;0.1000200060020007;0.5500450045004501;0h:29m:54s;;;
copa;elte-nlp/Racka-4B;4;1;2e-05;1024;fp16;True;standard;0.6965844631195068;0.5;0.0004001600640256;0.5;0h:30m:0s;;;
copa;Qwen/Qwen3-4B-Base;4;1;2e-05;1024;fp16;True;standard;0.7383311986923218;0.52;0.0396158463385354;0.52;0h:29m:56s;;;
copa;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.6246821880340576;0.71;0.423040247019904;0.7095646081473326;0h:37m:34s;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.35527503490448;0.86;0.720688275310124;0.86;1h:15m:10s;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.4510685205459595;0.76;0.5247346970015024;0.759423076923077;1h:15m:0s;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.5153167247772217;0.78;0.5609232967947094;0.7794700923323967;1h:14m:56s;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3727080821990967;0.87;0.7401480444148052;0.8700130013001299;1h:15m:18s;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;prompt;na;0.2;0.0573954035330609;0.2900610169491525;;linear;1.0;
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;prompt;na;0.2;0.0573954035330609;0.2900610169491525;;linear;1.0;0.0
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.4880611002445221;0.75;0.5013013917162995;0.74992499249925;1h:15m:21s;linear;1.0;na
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.5023899674415588;0.81;0.6198199316108879;0.8099429486537884;1h:15m:22s;linear;1.0;na
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3697204887866974;0.86;0.7226462192799978;0.8598879551820728;1h:15m:15s;linear;1.0;na
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.452135294675827;0.79;0.5803758986629802;0.7896842105263159;1h:15m:7s;linear;1.0;na
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.4099881947040558;0.84;0.6798719487795118;0.84;1h:15m:6s;linear;1.0;na
copa;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.4994981586933136;0.76;0.5247346970015024;0.759423076923077;1h:15m:5s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.7403314113616943;0.5;-0.0012024063548752;0.499599358974359;1h:15m:7s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.7215471267700195;0.51;0.0225675569555431;0.508280701754386;1h:14m:57s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.6922011375427246;0.58;0.1604641856742697;0.58;1h:15m:15s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.6953781247138977;0.63;0.2600520156052018;0.6300370037003701;1h:15m:10s;linear;1.0;na
copa;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.7071767449378967;0.55;0.101947080401381;0.5493243919527575;1h:15m:3s;linear;1.0;na
