task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot
rte;/project/c_racka1/racka_komondor/runs/eval_hulu_racka/legelo2_step_299999;3;2;2e-05;1024;fp16;True;standard;0.710659921169281;0.5308641975308642;0.0395284707521047;0.5270476985120289;0h:39m:15s;;;
rte;elte-nlp/Racka-4B;3;2;2e-05;1024;fp16;True;standard;0.3591399490833282;0.8600823045267489;0.7166666666666667;0.8600823045267489;0h:39m:25s;;;
rte;Qwen/Qwen3-4B;3;2;2e-05;1024;fp16;True;standard;0.2589943706989288;0.9135802469135802;0.8265176234614987;0.9137425652409004;0h:39m:18s;;;
rte;elte-nlp/Racka-4B;4;2;2e-05;1024;fp16;True;standard;0.3154819309711456;0.897119341563786;0.791335061857001;0.8969601082277139;0h:52m:28s;;;
rte;Qwen/Qwen3-4B;4;2;2e-05;1024;fp16;True;standard;0.2860466837882995;0.9094650205761317;0.8164403541893108;0.9093748091136766;0h:52m:25s;;;
rte;Qwen/Qwen3-4B-Base;4;2;2e-05;1024;fp16;True;standard;0.3437241315841675;0.8724279835390947;0.7434968800334464;0.8726675963079958;0h:52m:23s;;;
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.2689320743083954;0.897119341563786;0.7918868351524727;0.8971651657825059;2h:33m:10s;linear;1.0;na
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.278868168592453;0.9053497942386832;0.8085386611253051;0.9053919525199056;2h:29m:4s;linear;1.0;na
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.3190749883651733;0.8806584362139918;0.7578736038715261;0.880329359950213;2h:29m:27s;linear;1.0;na
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.3017268180847168;0.8847736625514403;0.7666666666666667;0.8847736625514403;2h:30m:26s;linear;1.0;na
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.2728807330131531;0.8930041152263375;0.7866508605679245;0.8932812310674906;2h:29m:12s;linear;1.0;na
rte;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.2614020705223083;0.9053497942386832;0.8091157548016876;0.905466340590244;2h:33m:34s;linear;1.0;na
rte;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3127137720584869;0.9012345679012346;0.8004804606448749;0.9013190926103428;3h:10m:53s;linear;1.0;na
rte;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3031173050403595;0.8765432098765432;0.7505659746462338;0.8766488657629284;3h:36m:38s;linear;1.0;na
rte;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.2994657754898071;0.9012345679012346;0.7998943922784421;0.9008971704623878;2h:18m:0s;linear;1.0;na
rte;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3462090790271759;0.8888888888888888;0.7748184273635198;0.8888354930060929;2h:18m:32s;linear;1.0;na
rte;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;0.3437882959842682;0.8724279835390947;0.7445818785822306;0.872732508463723;2h:20m:41s;linear;1.0;na
