task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot
sst;Qwen/Qwen3-4B;2;2;2e-05;1024;fp16;True;standard;0.6068143844604492;0.7553648068669528;0.5086245075800762;0.7496090045591008;1h:59m:53s;;;
sst;/project/c_racka1/racka_komondor/runs/eval_hulu_racka/legelo2_step_299999;2;2;2e-05;1024;fp16;True;standard;1.0661722421646118;0.4566523605150214;0.1468937777271683;0.5079525253261796;2h:0m:9s;;;
sst;/project/c_racka1/racka_komondor/runs/eval_hulu_racka/legelo2_step_299999;5;2;2e-05;1024;fp16;True;standard;1.075686812400818;0.4454935622317597;0.1616224289937892;0.5091011665450509;5h:0m:38s;;;
sst;elte-nlp/Racka-4B;4;2;2e-05;1024;fp16;True;standard;0.5759497284889221;0.7648068669527897;0.5254671567342406;0.7580179845593505;3h:59m:2s;;;
sst;Qwen/Qwen3-4B;4;2;2e-05;1024;fp16;True;standard;0.6023337244987488;0.7553648068669528;0.5118907296108736;0.7530414827512769;3h:59m:35s;;;
sst;Qwen/Qwen3-4B-Base;4;2;2e-05;1024;fp16;True;standard;0.6043703556060791;0.7553648068669528;0.5059561733885608;0.7493373105063826;3h:59m:12s;;;
sst;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.5963041186332703;0.7570815450643776;0.5128602377600548;0.7511480999729837;5h:28m:12s;linear;1.0;na
sst;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.5901118516921997;0.7562231759656652;0.5066198664314076;0.7480505172807567;5h:15m:13s;linear;1.0;na
sst;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.6077106595039368;0.7562231759656652;0.5074238609629168;0.748647694315592;5h:0m:52s;linear;1.0;na
sst;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.607631504535675;0.7493562231759656;0.4894233226562713;0.7376618891185747;5h:1m:12s;linear;1.0;na
sst;elte-nlp/Racka-4B;5;2;2e-05;1024;fp16;True;standard;0.5831865072250366;0.7648068669527897;0.5246054745899191;0.7601224514896693;5h:30m:55s;linear;1.0;na
sst;Qwen/Qwen3-4B;5;2;2e-05;1024;fp16;True;standard;0.6122707724571228;0.7493562231759656;0.4981303410955921;0.7451443088542792;6h:18m:59s;linear;1.0;na
sst;Qwen/Qwen3-4B;5;2;2e-05;1024;fp16;True;standard;0.6205562353134155;0.7510729613733905;0.4988312922764953;0.7476284902258595;5h:44m:31s;linear;1.0;na
sst;Qwen/Qwen3-4B;5;2;2e-05;1024;fp16;True;standard;0.6010512709617615;0.7579399141630901;0.5152143902455115;0.7556191384517564;5h:46m:1s;linear;1.0;na
sst;Qwen/Qwen3-4B;5;2;2e-05;1024;fp16;True;standard;0.5915178656578064;0.759656652360515;0.5236062422259773;0.7595837541044987;5h:45m:10s;linear;1.0;na
sst;Qwen/Qwen3-4B;5;2;2e-05;1024;fp16;True;standard;0.625525176525116;0.751931330472103;0.5016241800518875;0.7442374109438544;5h:46m:58s;linear;1.0;na
